date,store_region,avg_temperature_c,precipitation_mm
2018-01-01,Alberta,-10.34736842105263,12.502439024390243
2018-01-01,Atlantic,-6.367256637168142,119.61531531531531
2018-01-01,British Columbia,0.3515418502202643,192.27777777777777
2018-01-01,Manitoba/Saskatchewan,-15.62589928057554,13.017687074829931
2018-01-01,Ontario,-10.210967741935484,55.25337837837838
2018-01-01,Quebec,-13.145128205128206,80.23351648351648
2018-01-01,West,-24.544554455445542,9.048717948717949
2018-02-01,Alberta,-14.933816425120774,16.2645
2018-02-01,Atlantic,-5.228318584070796,100.32727272727271
2018-02-01,British Columbia,-1.968722466960352,106.04330357142858
2018-02-01,Manitoba/Saskatchewan,-18.426241134751773,6.043918918918919
2018-02-01,Ontario,-7.648387096774194,56.72671232876713
2018-02-01,Quebec,-9.365641025641024,56.727322404371584
2018-02-01,West,-26.212871287128714,8.31842105263158
2018-03-01,Alberta,-6.678260869565218,22.58208955223881
2018-03-01,Atlantic,-0.989090909090909,78.6252336448598
2018-03-01,British Columbia,2.946875,70.19058295964126
2018-03-01,Manitoba/Saskatchewan,-8.285714285714286,22.863758389261744
2018-03-01,Ontario,-3.4179487179487182,29.49652777777778
2018-03-01,Quebec,-4.513333333333333,42.78152173913043
