date,store_region,avg_temperature_c,precipitation_mm
2018-01-01,Alberta,-10.34736842105263,12.502439024390243
2018-01-01,Atlantic,-6.367256637168142,119.61531531531531
2018-01-01,British Columbia,0.3515418502202643,192.27777777777777
2018-01-01,Manitoba/Saskatchewan,-15.62589928057554,13.017687074829931
2018-01-01,Ontario,-10.210967741935484,55.25337837837838
2018-01-01,Quebec,-13.145128205128206,80.23351648351648
2018-01-01,West,-24.544554455445542,9.048717948717949
2018-02-01,Alberta,-14.933816425120774,16.2645
2018-02-01,Atlantic,-5.228318584070796,100.32727272727271
2018-02-01,British Columbia,-1.968722466960352,106.04330357142858
